Title,URL,Author,Price
Access 2016 Bible,https://www.amazon.com/Access-2016-Bible-Michael-Alexander/dp/111908654X/ref=sr_1_69?ie=UTF8&qid=1534925980&sr=8-69&keywords=automation+books,"Access 2016 BibleNov 2, 2015","$ 16 13 "
Mastering vRealize Automation 7.1: Implementing Cloud Management in the Enterprise Environment,https://www.amazon.com/Mastering-vRealize-Automation-7-1-Implementing/dp/1539470962/ref=sr_1_70?ie=UTF8&qid=1534925980&sr=8-70&keywords=automation+books,by Dr. Guido Soeldner and Dr. Constantin Soeldner,"$ 49 99 "
Account-Based Marketing For Dummies (For Dummies (Business & Personal Finance)),https://www.amazon.com/Account-Based-Marketing-Dummies-Business-Personal/dp/1119224853/ref=sr_1_71?ie=UTF8&qid=1534925980&sr=8-71&keywords=automation+books,"Account-Based Marketing For Dummies (For Dummies (Business & Personal Finance))Apr 15, 2016","$ 18 35 "
NOVA Volume 15,https://www.amazon.com/Rise-of-the-Robots/dp/B01BN09A10/ref=sr_1_72?ie=UTF8&qid=1534925980&sr=8-72&keywords=automation+books,"NOVA Volume 152016

CC","$ 2 99-$ 19 99 "
Apple?s Homekit Smart Home Automation System Handbook: Discover How to Build Your Own Smart Home Using Apple’s New HomeKit System (Smart Home Automation Essential Guides) (Volume 7),https://www.amazon.com/Apple-Homekit-Automation-System-Handbook/dp/1523211849/ref=sr_1_73?ie=UTF8&qid=1534925980&sr=8-73&keywords=automation+books,by Mr Gerard O'Driscoll,"$ 9 99 "
Process Automation Handbook: A Guide to Theory and Practice,https://www.amazon.com/Process-Automation-Handbook-Theory-Practice-ebook/dp/B00DZ12PYU/ref=sr_1_74?ie=UTF8&qid=1534925980&sr=8-74&keywords=automation+books,"Process Automation Handbook: A Guide to Theory and PracticeDec 22, 2007","$ 255 20 "
Our Final Invention: Artificial Intelligence and the End of the Human Era,https://www.amazon.com/Our-Final-Invention-Artificial-Intelligence/dp/1250058783/ref=sr_1_75?ie=UTF8&qid=1534925980&sr=8-75&keywords=automation+books,"Our Final Invention: Artificial Intelligence and the End of the Human EraFeb 14, 2015","$ 5 76 "
Test Automation in the Real World: Practical Lessons for Automated Testing,https://www.amazon.com/Test-Automation-Real-World-Practical/dp/1520745923/ref=sr_1_76?ie=UTF8&qid=1534925980&sr=8-76&keywords=automation+books,"Test Automation in the Real World: Practical Lessons for Automated TestingMar 5, 2017","$ 19 99 "
"Mastering Business Social Media Marketing Theory & Practice: book covers the fundamental facts & strategies, automation & advanced ideas & tips on corporate social marketing for businesses & beyond",https://www.amazon.com/Mastering-Business-Social-Marketing-Practice/dp/1973224631/ref=sr_1_81?ie=UTF8&qid=1534925981&sr=8-81&keywords=automation+books,by Neil Hoechlin,"$ 13 99 "
"CONTROL VALVE HANDBOOK (Fisher, Emerson Automation Solutions) 5th Edition",https://www.amazon.com/CONTROL-HANDBOOK-Emerson-Automation-Solutions/dp/B07942RN5H/ref=sr_1_82?ie=UTF8&qid=1534925981&sr=8-82&keywords=automation+books,"CONTROL VALVE HANDBOOK (Fisher, Emerson Automation Solutions) 5th Edition2017",
